texto; disc. token (%); disc. split (%); disc. etiquetas (%); numero de tokens para %;numero de tokens anotador 1; numero de tokens anotador 2; numero de split para %; numero de split anotador 1; numero de split anotador 2; POS disc. anotador1; POS disc. anotador2; pares discrepantes (POS anotador1 : POS anotador2);discrepancias POS (POS1 - token1 : POS2 - token2);
['S1134-80462005000300007-1.txt_tagged'];0,000;0,000;1,626;492;492;492;16;16;16;[('alta - NCFS000', 2), ('Primigesta - NCFS000', 1), ('derecho - AQ0MS0', 1), ('mismo - PI0MS000', 1), ('plano - AQ0MS0', 1), ('informe - NCMS000', 1), ('realizándose - VMG0000+P00CN000', 1)];[('alta - AQ0FS0', 2), ('Primigesta - AQ0FS0', 1), ('derecho - NCMS000', 1), ('mismo - AQ0MS0', 1), ('plano - NCMS000', 1), ('informe - AQ0CS0', 1), ('realizándose - VMG0000+PP3CN000', 1)];[('[ NCFS000 : AQ0FS0 ]', 3), ('[ AQ0MS0 : NCMS000 ]', 2), ('[ PI0MS000 : AQ0MS0 ]', 1), ('[ NCMS000 : AQ0CS0 ]', 1), ('[ VMG0000+P00CN000 : VMG0000+PP3CN000 ]', 1)];['[ NCFS000 - Primigesta : AQ0FS0 - Primigesta ]', '[ AQ0MS0 - derecho : NCMS000 - derecho ]', '[ PI0MS000 - mismo : AQ0MS0 - mismo ]', '[ AQ0MS0 - plano : NCMS000 - plano ]', '[ NCMS000 - informe : AQ0CS0 - informe ]', '[ VMG0000+P00CN000 - realizándose : VMG0000+PP3CN000 - realizándose ]', '[ NCFS000 - alta : AQ0FS0 - alta ]', '[ NCFS000 - alta : AQ0FS0 - alta ]'];
['S0378-48352006000400005-1.txt_tagged'];0,000;0,000;1,323;1285;1285;1285;40;40;40;[('izquierda - AQ0FS0', 4), ('20x16x13 - Z', 1), ('asociada - VMP00SF', 1), ('ser - VSN0000', 1), ('x15 - Z', 1), ('Carcinoma - NCMS000', 1), ('constituído - VMP00SM', 1), ('Fluoropirimidinas9 - NP00000', 1), ('ha - NC00000', 1), ('acepta - VMIP3S0', 1), ('19x10x5 - Z', 1), ('frente - RG', 1), ('secundario - AQ0MS0', 1), ('produciéndose - VMG0000+P00CN000', 1)];[('izquierda - NCFS000', 4), ('20x16x13 - NC00000', 1), ('asociada - NCFS000', 1), ('ser - NCMS000', 1), ('x15 - NC00000', 1), ('Carcinoma - NP00000', 1), ('constituído - VMP00MS', 1), ('Fluoropirimidinas9 - NC00000', 1), ('ha - VAIP3S0', 1), ('acepta - AQ0FS0', 1), ('19x10x5 - NC00000', 1), ('frente - NCFS000', 1), ('secundario - NCMS000', 1), ('produciéndose - VMG0000+PP3CN000', 1)];[('[ AQ0FS0 : NCFS000 ]', 4), ('[ Z : NC00000 ]', 3), ('[ VMP00SF : NCFS000 ]', 1), ('[ VSN0000 : NCMS000 ]', 1), ('[ NCMS000 : NP00000 ]', 1), ('[ VMP00SM : VMP00MS ]', 1), ('[ NP00000 : NC00000 ]', 1), ('[ NC00000 : VAIP3S0 ]', 1), ('[ VMIP3S0 : AQ0FS0 ]', 1), ('[ RG : NCFS000 ]', 1), ('[ AQ0MS0 : NCMS000 ]', 1), ('[ VMG0000+P00CN000 : VMG0000+PP3CN000 ]', 1)];['[ Z - 20x16x13 : NC00000 - 20x16x13 ]', '[ VMP00SF - asociada : NCFS000 - asociada ]', '[ AQ0FS0 - izquierda : NCFS000 - izquierda ]', '[ VSN0000 - ser : NCMS000 - ser ]', '[ AQ0FS0 - izquierda : NCFS000 - izquierda ]', '[ AQ0FS0 - izquierda : NCFS000 - izquierda ]', '[ Z - x15 : NC00000 - x15 ]', '[ NCMS000 - Carcinoma : NP00000 - Carcinoma ]', '[ AQ0FS0 - izquierda : NCFS000 - izquierda ]', '[ VMP00SM - constituído : VMP00MS - constituído ]', '[ NP00000 - Fluoropirimidinas9 : NC00000 - Fluoropirimidinas9 ]', '[ NC00000 - ha : VAIP3S0 - ha ]', '[ VMIP3S0 - acepta : AQ0FS0 - acepta ]', '[ Z - 19x10x5 : NC00000 - 19x10x5 ]', '[ RG - frente : NCFS000 - frente ]', '[ AQ0MS0 - secundario : NCMS000 - secundario ]', '[ VMG0000+P00CN000 - produciéndose : VMG0000+PP3CN000 - produciéndose ]'];
['S0210-48062006000300016-1.txt_tagged'];0,000;0,000;3,295;789;789;789;46;46;46;[('derecho - AQ0MS0', 3), ('observándose - VMG0000+P00CN000', 2), ('derecha - AQ0FS0', 2), ('pig-tail - NCCS000', 2), ('Descripción - NCFS000', 2), ('3x2,5x1,2 - Z', 2), ('dependiente - AQ0CS0', 1), ('Hemograma - NCMS000', 1), ('Parámetros - NCMP000', 1), ('PSAl - NC00000', 1), ('negativa - AQ0FS0', 1), ('izquierda - AQ0FS0', 1), ('Tratamiento - NCMS000', 1), ('objetivándose - VMG0000+P00CN000', 1), ('decidiéndose - VMG0000+P00CN000', 1), ('Diagnóstico_Final - NCMS000', 1), ('Evolución_Clínica - NCFS000', 1), ('alta - NCFS000', 1), ('basal - AQ0CP0', 1)];[('derecho - NCMS000', 3), ('observándose - VMG0000+PP3CN000', 2), ('derecha - NCFS000', 2), ('pig-tail - AQ0000', 2), ('Descripción - NP00000', 2), ('3x2,5x1,2 - NC00000', 2), ('dependiente - NCMS000', 1), ('Hemograma - NP00000', 1), ('Parámetros - NP00000', 1), ('PSAl - NP00000', 1), ('negativa - NCFS000', 1), ('izquierda - NCFS000', 1), ('Tratamiento - NP00000', 1), ('objetivándose - VMG0000+PP3CN000', 1), ('decidiéndose - VMG0000+PP3CN000', 1), ('Diagnóstico_Final - NP00000', 1), ('Evolución_Clínica - NP00000', 1), ('alta - AQ0FS0', 1), ('basal - AQ0CS0', 1)];[('[ AQ0FS0 : NCFS000 ]', 4), ('[ VMG0000+P00CN000 : VMG0000+PP3CN000 ]', 4), ('[ NCMS000 : NP00000 ]', 3), ('[ AQ0MS0 : NCMS000 ]', 3), ('[ NCFS000 : NP00000 ]', 3), ('[ NCCS000 : AQ0000 ]', 2), ('[ Z : NC00000 ]', 2), ('[ AQ0CS0 : NCMS000 ]', 1), ('[ NCMP000 : NP00000 ]', 1), ('[ NC00000 : NP00000 ]', 1), ('[ NCFS000 : AQ0FS0 ]', 1), ('[ AQ0CP0 : AQ0CS0 ]', 1)];['[ AQ0CS0 - dependiente : NCMS000 - dependiente ]', '[ NCMS000 - Hemograma : NP00000 - Hemograma ]', '[ NCMP000 - Parámetros : NP00000 - Parámetros ]', '[ NC00000 - PSAl : NP00000 - PSAl ]', '[ AQ0FS0 - negativa : NCFS000 - negativa ]', '[ AQ0MS0 - derecho : NCMS000 - derecho ]', '[ VMG0000+P00CN000 - observándose : VMG0000+PP3CN000 - observándose ]', '[ VMG0000+P00CN000 - observándose : VMG0000+PP3CN000 - observándose ]', '[ AQ0FS0 - derecha : NCFS000 - derecha ]', '[ AQ0FS0 - izquierda : NCFS000 - izquierda ]', '[ NCMS000 - Tratamiento : NP00000 - Tratamiento ]', '[ VMG0000+P00CN000 - objetivándose : VMG0000+PP3CN000 - objetivándose ]', '[ VMG0000+P00CN000 - decidiéndose : VMG0000+PP3CN000 - decidiéndose ]', '[ NCCS000 - pig-tail : AQ0000 - pig-tail ]', '[ NCFS000 - Descripción : NP00000 - Descripción ]', '[ Z - 3x2,5x1,2 : NC00000 - 3x2,5x1,2 ]', '[ Z - 3x2,5x1,2 : NC00000 - 3x2,5x1,2 ]', '[ AQ0MS0 - derecho : NCMS000 - derecho ]', '[ NCFS000 - Descripción : NP00000 - Descripción ]', '[ AQ0MS0 - derecho : NCMS000 - derecho ]', '[ NCMS000 - Diagnóstico_Final : NP00000 - Diagnóstico_Final ]', '[ NCFS000 - Evolución_Clínica : NP00000 - Evolución_Clínica ]', '[ NCFS000 - alta : AQ0FS0 - alta ]', '[ AQ0CP0 - basal : AQ0CS0 - basal ]', '[ AQ0FS0 - derecha : NCFS000 - derecha ]', '[ NCCS000 - pig-tail : AQ0000 - pig-tail ]'];
['S1139-76322011000300008-1.txt_tagged'];0,000;0,000;1,045;287;287;287;11;11;11;[('Adolescente - NCCS000', 1), ('sistemática1 - AQ0FS0', 1), ('remite - VMIP3S0', 1)];[('Adolescente - AQ0CS0', 1), ('sistemática1 - NC00000', 1), ('remite - NCMS000', 1)];[('[ NCCS000 : AQ0CS0 ]', 1), ('[ AQ0FS0 : NC00000 ]', 1), ('[ VMIP3S0 : NCMS000 ]', 1)];['[ NCCS000 - Adolescente : AQ0CS0 - Adolescente ]', '[ AQ0FS0 - sistemática1 : NC00000 - sistemática1 ]', '[ VMIP3S0 - remite : NCMS000 - remite ]'];
['es-S1130-01082007000400010-1.txt_tagged'];0,000;0,000;1,165;601;601;601;26;26;26;[('que - PR0CN000', 1), ('comprobándose - VMG0000+P00CN000', 1), ('indefinidos - AQ0MP0', 1), ('bajo - AQ0MS0', 1), ('alta - NCFS000', 1), ('derecho - AQ0MS0', 1), ('confirmándose - VMG0000+P00CN000', 1)];[('que - CS', 1), ('comprobándose - VMG0000+PP3CN000', 1), ('indefinidos - NCMP000', 1), ('bajo - SPS00', 1), ('alta - AQ0FS0', 1), ('derecho - NCMS000', 1), ('confirmándose - VMG0000+PP3CN000', 1)];[('[ VMG0000+P00CN000 : VMG0000+PP3CN000 ]', 2), ('[ PR0CN000 : CS ]', 1), ('[ AQ0MP0 : NCMP000 ]', 1), ('[ AQ0MS0 : SPS00 ]', 1), ('[ NCFS000 : AQ0FS0 ]', 1), ('[ AQ0MS0 : NCMS000 ]', 1)];['[ PR0CN000 - que : CS - que ]', '[ VMG0000+P00CN000 - comprobándose : VMG0000+PP3CN000 - comprobándose ]', '[ AQ0MP0 - indefinidos : NCMP000 - indefinidos ]', '[ AQ0MS0 - bajo : SPS00 - bajo ]', '[ NCFS000 - alta : AQ0FS0 - alta ]', '[ AQ0MS0 - derecho : NCMS000 - derecho ]', '[ VMG0000+P00CN000 - confirmándose : VMG0000+PP3CN000 - confirmándose ]'];
['es-S0365-66912007000900016-1.txt_tagged'];0,000;0,000;0,550;545;545;545;18;18;18;[('derecho - AQ0MS0', 1), ('evidenciarse - VMN0000+P00CN000', 1), ('apreciándose - VMG0000+P00CN000', 1)];[('derecho - NCMS000', 1), ('evidenciarse - VMN0000+PP3CN000', 1), ('apreciándose - VMG0000+PP3CN000', 1)];[('[ AQ0MS0 : NCMS000 ]', 1), ('[ VMN0000+P00CN000 : VMN0000+PP3CN000 ]', 1), ('[ VMG0000+P00CN000 : VMG0000+PP3CN000 ]', 1)];['[ AQ0MS0 - derecho : NCMS000 - derecho ]', '[ VMN0000+P00CN000 - evidenciarse : VMN0000+PP3CN000 - evidenciarse ]', '[ VMG0000+P00CN000 - apreciándose : VMG0000+PP3CN000 - apreciándose ]'];
['S0210-48062006000100016-1.txt_tagged'];0,000;0,000;1,389;144;144;144;7;7;7;[('Ureterocele - NCMS000', 1), ('confirmándose - VMG0000+P00CN000', 1)];[('Ureterocele - NP00000', 1), ('confirmándose - VMG0000+PP3CN000', 1)];[('[ NCMS000 : NP00000 ]', 1), ('[ VMG0000+P00CN000 : VMG0000+PP3CN000 ]', 1)];['[ NCMS000 - Ureterocele : NP00000 - Ureterocele ]', '[ VMG0000+P00CN000 - confirmándose : VMG0000+PP3CN000 - confirmándose ]'];
['es-S1130-01082006001000017-1.txt_tagged'];0,000;0,000;0,000;116;116;116;8;8;8;[];[];[];[];
['es-S1137-66272011000100012-1.txt_tagged'];0,000;0,000;1,873;267;267;267;16;16;16;[('asma - NCFS000', 2), ('D-AAT - NC00000', 2), ('roncus - NCMS000', 1)];[('asma - NCMS000', 2), ('D-AAT - NP00000', 2), ('roncus - NCMP000', 1)];[('[ NCFS000 : NCMS000 ]', 2), ('[ NC00000 : NP00000 ]', 2), ('[ NCMS000 : NCMP000 ]', 1)];['[ NCMS000 - roncus : NCMP000 - roncus ]', '[ NCFS000 - asma : NCMS000 - asma ]', '[ NC00000 - D-AAT : NP00000 - D-AAT ]', '[ NCFS000 - asma : NCMS000 - asma ]', '[ NC00000 - D-AAT : NP00000 - D-AAT ]'];
['es-S1130-01082009000500012-1.txt_tagged'];0,000;0,000;3,344;299;299;299;12;12;12;[('V - Z', 2), ('haberse - VAN0000+P00CN000', 1), ('complejo - AQ0MS0', 1), ('misma - PI0FS000', 1), ('descartarse - VMN0000+P00CN000', 1), ('pudiéndose - VMG0000+P00CN000', 1), ('derecho - AQ0MS0', 1), ('darse - VMN0000+P00CN000', 1), ('encontrándose - VMG0000+P00CN000', 1)];[('V - NC00000', 2), ('haberse - VAN0000+PP3CN000', 1), ('complejo - NCMS000', 1), ('misma - AQ0FS0', 1), ('descartarse - VMN0000+PP3CN000', 1), ('pudiéndose - VMG0000+PP3CN000', 1), ('derecho - NCMS000', 1), ('darse - VMN0000+PP3CN000', 1), ('encontrándose - VMG0000+PP3CN000', 1)];[('[ AQ0MS0 : NCMS000 ]', 2), ('[ Z : NC00000 ]', 2), ('[ VMN0000+P00CN000 : VMN0000+PP3CN000 ]', 2), ('[ VMG0000+P00CN000 : VMG0000+PP3CN000 ]', 2), ('[ VAN0000+P00CN000 : VAN0000+PP3CN000 ]', 1), ('[ PI0FS000 : AQ0FS0 ]', 1)];['[ VAN0000+P00CN000 - haberse : VAN0000+PP3CN000 - haberse ]', '[ AQ0MS0 - complejo : NCMS000 - complejo ]', '[ Z - V : NC00000 - V ]', '[ PI0FS000 - misma : AQ0FS0 - misma ]', '[ Z - V : NC00000 - V ]', '[ VMN0000+P00CN000 - descartarse : VMN0000+PP3CN000 - descartarse ]', '[ VMG0000+P00CN000 - pudiéndose : VMG0000+PP3CN000 - pudiéndose ]', '[ AQ0MS0 - derecho : NCMS000 - derecho ]', '[ VMN0000+P00CN000 - darse : VMN0000+PP3CN000 - darse ]', '[ VMG0000+P00CN000 - encontrándose : VMG0000+PP3CN000 - encontrándose ]'];
['es-S1130-05582014000400008-1.txt_tagged'];0,000;0,000;1,840;326;326;326;13;13;13;[('izquierda - AQ0FS0', 1), ('negativa - AQ0FS0', 1), ('junto - RG', 1), ('comprobándose - VMG0000+P00CN000', 1), ('alta - NCFS000', 1), ('hemangioma - NCMS000', 1)];[('izquierda - NCFS000', 1), ('negativa - NCFS000', 1), ('junto - VMIP1S0', 1), ('comprobándose - VMG0000+PP3CN000', 1), ('alta - AQ0FS0', 1), ('hemangioma - NCFS000', 1)];[('[ AQ0FS0 : NCFS000 ]', 2), ('[ RG : VMIP1S0 ]', 1), ('[ VMG0000+P00CN000 : VMG0000+PP3CN000 ]', 1), ('[ NCFS000 : AQ0FS0 ]', 1), ('[ NCMS000 : NCFS000 ]', 1)];['[ AQ0FS0 - izquierda : NCFS000 - izquierda ]', '[ AQ0FS0 - negativa : NCFS000 - negativa ]', '[ RG - junto : VMIP1S0 - junto ]', '[ VMG0000+P00CN000 - comprobándose : VMG0000+PP3CN000 - comprobándose ]', '[ NCFS000 - alta : AQ0FS0 - alta ]', '[ NCMS000 - hemangioma : NCFS000 - hemangioma ]'];
['es-S1130-01082009000600013-1.txt_tagged'];0,000;0,000;0,621;161;161;161;7;7;7;[('paraqueratosis - NCFN000', 1)];[('paraqueratosis - NCFS000', 1)];[('[ NCFN000 : NCFS000 ]', 1)];['[ NCFN000 - paraqueratosis : NCFS000 - paraqueratosis ]'];
